Game Number,Button Hand 1,Button Hand 2,Small Blind Hand 1,Small Blind Hand 2,Big Blind Hand 1,Big Blind Hand 2,UTG Hand 1,UTG Hand 2,UTG+1 Hand 1,UTG+1 Hand 2,Community Card 1,Community Card 2,Community Card 3,Community Card 4,Community Card 5
14,6 of Clubs,A of Clubs,J of Hearts,10 of Clubs,K of Spades,7 of Clubs,3 of Clubs,5 of Spades,J of Diamonds,K of Clubs,9 of Hearts,4 of Diamonds,A of Spades,5 of Clubs,8 of Hearts
15,2 of Spades,6 of Diamonds,10 of Hearts,A of Diamonds,8 of Hearts,K of Diamonds,Q of Spades,A of Hearts,4 of Clubs,9 of Diamonds,3 of Clubs,2 of Clubs,Q of Diamonds,5 of Clubs,2 of Diamonds
16,A of Diamonds,Q of Spades,4 of Clubs,5 of Diamonds,6 of Clubs,10 of Diamonds,4 of Spades,4 of Diamonds,8 of Spades,K of Clubs,A of Hearts,5 of Spades,Q of Clubs,J of Diamonds,2 of Diamonds
17,8 of Diamonds,A of Clubs,9 of Clubs,6 of Diamonds,6 of Hearts,7 of Clubs,4 of Spades,5 of Clubs,10 of Diamonds,2 of Diamonds,4 of Clubs,4 of Hearts,3 of Spades,6 of Clubs,2 of Spades
18,3 of Spades,9 of Spades,5 of Spades,A of Hearts,6 of Clubs,A of Spades,10 of Clubs,7 of Spades,J of Clubs,K of Hearts,6 of Diamonds,4 of Diamonds,Q of Spades,7 of Hearts,9 of Hearts
19,10 of Diamonds,4 of Spades,3 of Clubs,10 of Clubs,10 of Spades,2 of Spades,K of Hearts,2 of Hearts,J of Spades,A of Spades,A of Diamonds,8 of Diamonds,A of Hearts,3 of Diamonds,4 of Clubs
20,6 of Hearts,J of Clubs,5 of Clubs,4 of Clubs,4 of Spades,J of Diamonds,9 of Hearts,K of Diamonds,8 of Spades,2 of Clubs,5 of Hearts,J of Hearts,9 of Spades,8 of Hearts,7 of Clubs
21,Q of Diamonds,6 of Spades,K of Spades,4 of Clubs,Q of Spades,K of Diamonds,7 of Clubs,Q of Hearts,2 of Spades,A of Spades,8 of Clubs,5 of Diamonds,2 of Clubs,A of Clubs,6 of Clubs
22,K of Clubs,6 of Spades,9 of Diamonds,8 of Spades,2 of Diamonds,A of Hearts,9 of Hearts,6 of Hearts,J of Spades,10 of Diamonds,5 of Clubs,Q of Hearts,4 of Diamonds,J of Clubs,K of Spades
23,J of Diamonds,4 of Spades,3 of Spades,2 of Diamonds,A of Hearts,4 of Clubs,10 of Clubs,J of Spades,J of Clubs,6 of Diamonds,3 of Clubs,K of Hearts,4 of Hearts,8 of Hearts,3 of Diamonds
24,8 of Diamonds,9 of Spades,8 of Spades,J of Spades,7 of Hearts,5 of Clubs,2 of Hearts,10 of Diamonds,7 of Clubs,J of Diamonds,2 of Diamonds,J of Clubs,5 of Hearts,3 of Diamonds,7 of Diamonds
25,6 of Diamonds,A of Hearts,2 of Diamonds,5 of Hearts,K of Hearts,Q of Diamonds,K of Diamonds,5 of Diamonds,10 of Clubs,2 of Hearts,8 of Spades,9 of Spades,J of Clubs,4 of Spades,J of Spades
26,K of Clubs,K of Diamonds,8 of Clubs,2 of Spades,4 of Diamonds,10 of Clubs,4 of Hearts,8 of Spades,6 of Spades,3 of Spades,A of Diamonds,7 of Diamonds,7 of Spades,3 of Clubs,Q of Diamonds
27,3 of Diamonds,10 of Diamonds,4 of Hearts,9 of Spades,5 of Spades,Q of Hearts,3 of Clubs,J of Spades,10 of Spades,A of Clubs,Q of Diamonds,K of Clubs,2 of Spades,3 of Hearts,8 of Spades
28,6 of Clubs,4 of Diamonds,Q of Diamonds,3 of Spades,7 of Spades,A of Clubs,9 of Clubs,J of Hearts,10 of Spades,4 of Spades,Q of Hearts,7 of Clubs,8 of Spades,Q of Clubs,6 of Hearts
29,3 of Hearts,A of Clubs,7 of Clubs,3 of Diamonds,4 of Clubs,4 of Hearts,10 of Clubs,J of Spades,J of Hearts,Q of Spades,8 of Hearts,9 of Diamonds,9 of Clubs,9 of Spades,J of Diamonds
30,9 of Diamonds,K of Spades,K of Diamonds,10 of Hearts,6 of Clubs,9 of Clubs,Q of Hearts,7 of Hearts,A of Clubs,2 of Clubs,J of Diamonds,4 of Diamonds,J of Clubs,5 of Clubs,6 of Diamonds
31,5 of Diamonds,9 of Diamonds,4 of Hearts,3 of Diamonds,K of Hearts,K of Diamonds,2 of Spades,6 of Clubs,10 of Hearts,J of Clubs,A of Spades,5 of Spades,4 of Spades,3 of Clubs,A of Diamonds
32,2 of Hearts,J of Spades,7 of Spades,3 of Spades,7 of Clubs,3 of Diamonds,5 of Hearts,7 of Diamonds,10 of Spades,9 of Hearts,6 of Diamonds,5 of Clubs,6 of Clubs,K of Hearts,5 of Spades
33,9 of Clubs,7 of Clubs,8 of Diamonds,10 of Hearts,4 of Hearts,8 of Hearts,4 of Spades,6 of Spades,A of Spades,Q of Hearts,A of Hearts,7 of Hearts,8 of Spades,5 of Diamonds,7 of Diamonds
34,Q of Clubs,A of Diamonds,10 of Hearts,J of Clubs,5 of Hearts,Q of Diamonds,3 of Diamonds,J of Diamonds,K of Diamonds,2 of Diamonds,5 of Clubs,8 of Spades,A of Hearts,10 of Diamonds,3 of Spades
35,9 of Hearts,A of Hearts,7 of Hearts,4 of Hearts,3 of Hearts,6 of Spades,8 of Diamonds,2 of Hearts,10 of Spades,5 of Spades,K of Spades,J of Clubs,Q of Clubs,9 of Spades,K of Diamonds
36,8 of Clubs,A of Spades,A of Hearts,K of Spades,J of Spades,7 of Diamonds,10 of Clubs,J of Diamonds,3 of Diamonds,7 of Spades,A of Diamonds,6 of Diamonds,Q of Spades,5 of Clubs,3 of Clubs
37,8 of Diamonds,7 of Hearts,2 of Clubs,4 of Hearts,5 of Clubs,K of Clubs,6 of Hearts,10 of Hearts,6 of Spades,9 of Spades,Q of Diamonds,A of Spades,3 of Diamonds,9 of Diamonds,J of Diamonds
38,Q of Clubs,6 of Clubs,8 of Spades,Q of Hearts,J of Clubs,K of Clubs,A of Clubs,J of Hearts,9 of Hearts,K of Diamonds,10 of Hearts,6 of Diamonds,A of Hearts,10 of Spades,7 of Diamonds
39,K of Spades,4 of Hearts,A of Clubs,5 of Diamonds,9 of Diamonds,8 of Spades,8 of Hearts,3 of Hearts,J of Spades,10 of Diamonds,6 of Hearts,4 of Spades,5 of Clubs,10 of Hearts,Q of Clubs
40,8 of Diamonds,5 of Diamonds,K of Spades,2 of Clubs,9 of Hearts,A of Hearts,2 of Hearts,5 of Clubs,4 of Diamonds,10 of Spades,8 of Spades,6 of Hearts,K of Clubs,Q of Clubs,7 of Clubs
41,5 of Clubs,3 of Hearts,4 of Clubs,5 of Diamonds,9 of Spades,Q of Hearts,K of Clubs,6 of Spades,9 of Diamonds,J of Hearts,7 of Diamonds,A of Hearts,2 of Clubs,6 of Clubs,7 of Clubs
42,K of Spades,Q of Diamonds,A of Clubs,5 of Spades,4 of Hearts,A of Spades,2 of Diamonds,K of Hearts,8 of Clubs,8 of Diamonds,3 of Spades,6 of Spades,8 of Hearts,9 of Clubs,A of Hearts
43,6 of Diamonds,5 of Hearts,8 of Clubs,4 of Hearts,2 of Hearts,A of Spades,8 of Diamonds,J of Spades,A of Diamonds,4 of Spades,3 of Diamonds,9 of Spades,9 of Clubs,J of Hearts,K of Diamonds
44,5 of Spades,6 of Hearts,6 of Diamonds,K of Hearts,A of Clubs,2 of Diamonds,6 of Spades,Q of Clubs,A of Hearts,5 of Diamonds,A of Spades,K of Spades,5 of Clubs,9 of Clubs,4 of Hearts
45,6 of Spades,Q of Diamonds,9 of Hearts,3 of Clubs,9 of Clubs,J of Diamonds,7 of Spades,5 of Clubs,10 of Hearts,K of Clubs,A of Hearts,2 of Spades,5 of Hearts,A of Spades,4 of Hearts
46,Q of Clubs,Q of Hearts,Q of Diamonds,9 of Diamonds,A of Spades,10 of Diamonds,7 of Hearts,7 of Clubs,8 of Spades,2 of Diamonds,K of Clubs,8 of Diamonds,7 of Diamonds,K of Diamonds,6 of Spades
47,8 of Diamonds,K of Spades,9 of Diamonds,9 of Spades,7 of Diamonds,5 of Diamonds,Q of Spades,K of Hearts,A of Clubs,A of Diamonds,6 of Clubs,6 of Hearts,9 of Hearts,6 of Diamonds,10 of Spades
48,3 of Clubs,10 of Spades,7 of Hearts,A of Clubs,A of Hearts,8 of Clubs,Q of Diamonds,9 of Diamonds,10 of Hearts,J of Clubs,10 of Diamonds,9 of Hearts,K of Diamonds,3 of Hearts,7 of Spades
49,4 of Spades,A of Diamonds,8 of Clubs,Q of Diamonds,K of Hearts,7 of Hearts,J of Hearts,6 of Spades,K of Spades,10 of Clubs,9 of Hearts,2 of Diamonds,7 of Clubs,8 of Hearts,5 of Hearts
50,10 of Diamonds,K of Spades,A of Diamonds,A of Spades,5 of Clubs,6 of Clubs,Q of Spades,J of Spades,9 of Spades,Q of Hearts,3 of Diamonds,K of Hearts,9 of Hearts,J of Hearts,10 of Spades
51,A of Clubs,4 of Clubs,2 of Clubs,8 of Spades,5 of Clubs,10 of Hearts,A of Diamonds,2 of Hearts,Q of Diamonds,5 of Diamonds,7 of Diamonds,Q of Spades,2 of Spades,10 of Clubs,3 of Spades
52,10 of Diamonds,8 of Diamonds,5 of Hearts,7 of Clubs,7 of Spades,3 of Hearts,9 of Diamonds,A of Hearts,9 of Clubs,Q of Diamonds,9 of Spades,K of Hearts,9 of Hearts,J of Diamonds,6 of Hearts
53,J of Clubs,K of Diamonds,K of Hearts,J of Diamonds,2 of Clubs,K of Spades,9 of Hearts,8 of Diamonds,Q of Hearts,4 of Spades,6 of Diamonds,7 of Spades,2 of Diamonds,Q of Diamonds,4 of Clubs
54,4 of Spades,5 of Clubs,10 of Diamonds,5 of Spades,J of Spades,3 of Spades,8 of Hearts,8 of Diamonds,10 of Clubs,5 of Hearts,J of Diamonds,6 of Diamonds,3 of Hearts,J of Hearts,7 of Clubs
55,5 of Hearts,10 of Diamonds,2 of Spades,2 of Clubs,K of Hearts,J of Spades,4 of Clubs,3 of Spades,A of Diamonds,J of Diamonds,K of Spades,Q of Hearts,2 of Hearts,10 of Spades,10 of Clubs
56,7 of Diamonds,8 of Diamonds,10 of Hearts,A of Spades,6 of Diamonds,Q of Spades,6 of Spades,3 of Diamonds,4 of Hearts,K of Hearts,8 of Hearts,K of Spades,5 of Diamonds,J of Clubs,4 of Clubs
57,J of Diamonds,3 of Hearts,9 of Clubs,4 of Hearts,10 of Clubs,2 of Clubs,5 of Spades,8 of Spades,K of Spades,8 of Clubs,6 of Clubs,J of Spades,2 of Hearts,K of Hearts,9 of Spades
58,2 of Spades,K of Hearts,10 of Diamonds,J of Spades,7 of Hearts,4 of Clubs,5 of Spades,K of Diamonds,8 of Hearts,7 of Spades,10 of Clubs,2 of Hearts,8 of Spades,A of Hearts,9 of Spades
59,6 of Spades,K of Diamonds,Q of Spades,4 of Spades,4 of Diamonds,8 of Diamonds,Q of Diamonds,4 of Clubs,3 of Spades,6 of Diamonds,5 of Spades,2 of Hearts,A of Diamonds,7 of Spades,Q of Hearts
60,7 of Clubs,3 of Hearts,3 of Spades,4 of Diamonds,3 of Clubs,Q of Spades,2 of Clubs,K of Hearts,K of Spades,J of Hearts,6 of Diamonds,2 of Hearts,7 of Spades,A of Hearts,6 of Clubs
61,Q of Diamonds,K of Spades,4 of Diamonds,3 of Hearts,A of Diamonds,Q of Clubs,2 of Spades,K of Clubs,7 of Spades,J of Spades,4 of Spades,9 of Diamonds,8 of Diamonds,6 of Clubs,5 of Hearts
62,4 of Clubs,8 of Diamonds,Q of Clubs,A of Spades,J of Spades,10 of Diamonds,9 of Diamonds,7 of Clubs,J of Clubs,3 of Spades,4 of Spades,9 of Clubs,10 of Spades,6 of Spades,K of Diamonds
63,2 of Hearts,5 of Diamonds,5 of Hearts,2 of Diamonds,10 of Hearts,Q of Spades,K of Diamonds,2 of Spades,4 of Spades,7 of Diamonds,3 of Diamonds,10 of Diamonds,J of Hearts,8 of Clubs,6 of Hearts
64,5 of Clubs,J of Diamonds,3 of Clubs,8 of Hearts,A of Clubs,K of Clubs,9 of Diamonds,Q of Hearts,6 of Diamonds,K of Spades,9 of Hearts,10 of Spades,3 of Diamonds,A of Spades,4 of Diamonds
65,Q of Diamonds,Q of Spades,5 of Diamonds,3 of Diamonds,3 of Spades,7 of Hearts,J of Hearts,6 of Diamonds,10 of Clubs,7 of Spades,9 of Clubs,3 of Hearts,9 of Spades,7 of Clubs,10 of Spades
66,9 of Diamonds,J of Spades,3 of Spades,8 of Diamonds,10 of Diamonds,5 of Clubs,4 of Hearts,Q of Clubs,Q of Spades,2 of Hearts,J of Diamonds,5 of Hearts,2 of Spades,2 of Clubs,7 of Clubs
67,4 of Diamonds,7 of Clubs,4 of Spades,9 of Diamonds,2 of Spades,5 of Clubs,5 of Spades,6 of Clubs,A of Clubs,3 of Diamonds,4 of Clubs,6 of Diamonds,J of Clubs,Q of Hearts,8 of Diamonds
68,Q of Clubs,7 of Spades,7 of Diamonds,10 of Hearts,4 of Diamonds,6 of Hearts,2 of Diamonds,2 of Spades,4 of Hearts,J of Clubs,K of Hearts,2 of Clubs,8 of Diamonds,3 of Diamonds,5 of Clubs
69,2 of Spades,Q of Diamonds,J of Hearts,4 of Clubs,Q of Spades,A of Hearts,8 of Hearts,9 of Clubs,7 of Clubs,7 of Diamonds,K of Hearts,K of Clubs,7 of Hearts,3 of Spades,4 of Hearts
70,4 of Clubs,6 of Diamonds,2 of Diamonds,2 of Hearts,Q of Diamonds,9 of Hearts,Q of Clubs,K of Spades,5 of Diamonds,6 of Clubs,8 of Clubs,A of Hearts,10 of Spades,4 of Hearts,3 of Diamonds
71,9 of Diamonds,7 of Hearts,8 of Hearts,A of Hearts,3 of Spades,5 of Spades,5 of Diamonds,8 of Spades,6 of Diamonds,8 of Diamonds,9 of Hearts,3 of Diamonds,A of Clubs,5 of Clubs,4 of Hearts
72,8 of Diamonds,10 of Diamonds,7 of Spades,A of Hearts,A of Diamonds,2 of Clubs,Q of Hearts,10 of Spades,5 of Spades,Q of Diamonds,K of Clubs,4 of Hearts,10 of Hearts,7 of Hearts,2 of Diamonds
73,2 of Spades,10 of Hearts,Q of Diamonds,2 of Hearts,2 of Diamonds,K of Spades,7 of Diamonds,3 of Diamonds,9 of Hearts,9 of Clubs,Q of Hearts,7 of Clubs,K of Hearts,6 of Hearts,6 of Clubs
74,J of Hearts,5 of Clubs,3 of Diamonds,10 of Hearts,Q of Hearts,5 of Diamonds,2 of Clubs,A of Diamonds,8 of Clubs,A of Hearts,5 of Hearts,Q of Clubs,A of Clubs,7 of Diamonds,J of Spades
75,6 of Clubs,4 of Diamonds,8 of Diamonds,8 of Clubs,Q of Hearts,A of Spades,6 of Spades,7 of Hearts,J of Clubs,3 of Clubs,10 of Spades,K of Clubs,J of Hearts,A of Hearts,Q of Diamonds
76,5 of Spades,K of Diamonds,4 of Hearts,7 of Spades,2 of Clubs,3 of Clubs,8 of Spades,K of Spades,9 of Spades,10 of Diamonds,A of Diamonds,5 of Clubs,A of Clubs,J of Spades,Q of Hearts
77,3 of Spades,Q of Clubs,4 of Clubs,Q of Diamonds,8 of Diamonds,2 of Hearts,J of Diamonds,K of Hearts,10 of Clubs,10 of Diamonds,7 of Clubs,9 of Spades,6 of Spades,Q of Spades,K of Clubs
78,7 of Clubs,Q of Spades,8 of Hearts,10 of Clubs,3 of Hearts,4 of Spades,9 of Clubs,10 of Spades,2 of Clubs,5 of Hearts,9 of Hearts,6 of Spades,8 of Diamonds,4 of Hearts,K of Hearts
79,8 of Spades,Q of Diamonds,4 of Clubs,7 of Hearts,4 of Diamonds,Q of Hearts,5 of Hearts,9 of Diamonds,K of Clubs,3 of Hearts,K of Spades,7 of Spades,3 of Diamonds,J of Diamonds,J of Clubs
80,A of Spades,3 of Hearts,Q of Hearts,7 of Clubs,8 of Spades,6 of Hearts,K of Spades,9 of Diamonds,A of Clubs,K of Clubs,9 of Hearts,9 of Spades,7 of Hearts,A of Hearts,5 of Spades
81,6 of Clubs,7 of Diamonds,2 of Spades,J of Diamonds,6 of Hearts,2 of Clubs,5 of Hearts,5 of Spades,J of Hearts,J of Spades,4 of Hearts,8 of Diamonds,Q of Clubs,3 of Diamonds,6 of Diamonds
82,10 of Diamonds,8 of Diamonds,3 of Clubs,A of Clubs,6 of Hearts,10 of Clubs,9 of Clubs,10 of Hearts,5 of Hearts,9 of Hearts,2 of Diamonds,2 of Hearts,A of Diamonds,8 of Spades,2 of Clubs
83,4 of Clubs,2 of Diamonds,3 of Spades,7 of Spades,2 of Clubs,K of Clubs,3 of Clubs,6 of Spades,Q of Diamonds,5 of Spades,9 of Hearts,10 of Hearts,K of Spades,J of Diamonds,10 of Diamonds
84,4 of Spades,5 of Diamonds,K of Diamonds,7 of Diamonds,K of Spades,10 of Clubs,8 of Hearts,A of Diamonds,Q of Hearts,A of Hearts,5 of Hearts,3 of Clubs,4 of Hearts,6 of Hearts,4 of Diamonds
85,A of Hearts,5 of Clubs,5 of Hearts,7 of Hearts,9 of Clubs,J of Hearts,5 of Diamonds,3 of Spades,10 of Clubs,4 of Hearts,6 of Spades,9 of Diamonds,2 of Diamonds,J of Spades,10 of Hearts
86,3 of Hearts,6 of Spades,6 of Hearts,J of Hearts,7 of Hearts,8 of Spades,Q of Hearts,10 of Hearts,3 of Diamonds,K of Diamonds,6 of Diamonds,A of Spades,5 of Spades,2 of Clubs,3 of Spades
87,K of Spades,A of Clubs,3 of Clubs,Q of Clubs,8 of Clubs,10 of Clubs,10 of Spades,9 of Diamonds,6 of Hearts,2 of Clubs,3 of Hearts,J of Spades,A of Spades,7 of Clubs,8 of Spades
88,10 of Diamonds,3 of Hearts,Q of Diamonds,3 of Spades,10 of Spades,3 of Clubs,6 of Diamonds,4 of Diamonds,7 of Diamonds,2 of Clubs,6 of Hearts,J of Clubs,2 of Spades,A of Hearts,8 of Clubs
89,3 of Diamonds,3 of Spades,9 of Clubs,10 of Clubs,Q of Diamonds,2 of Clubs,J of Diamonds,A of Diamonds,2 of Diamonds,K of Clubs,10 of Spades,2 of Spades,4 of Spades,J of Spades,Q of Clubs
90,K of Clubs,K of Hearts,3 of Hearts,6 of Diamonds,2 of Hearts,A of Clubs,8 of Hearts,5 of Clubs,6 of Hearts,4 of Diamonds,A of Hearts,8 of Clubs,K of Diamonds,9 of Clubs,8 of Diamonds
91,K of Hearts,K of Spades,10 of Clubs,5 of Diamonds,J of Clubs,3 of Spades,Q of Clubs,Q of Spades,6 of Diamonds,K of Diamonds,9 of Hearts,10 of Hearts,A of Diamonds,5 of Hearts,9 of Spades
92,8 of Hearts,10 of Clubs,5 of Spades,Q of Clubs,4 of Spades,2 of Hearts,9 of Clubs,4 of Hearts,3 of Hearts,8 of Diamonds,7 of Diamonds,6 of Clubs,7 of Hearts,K of Hearts,K of Diamonds
93,A of Clubs,Q of Clubs,6 of Diamonds,Q of Hearts,10 of Diamonds,3 of Hearts,J of Hearts,10 of Hearts,3 of Spades,8 of Hearts,7 of Diamonds,4 of Clubs,9 of Clubs,6 of Clubs,4 of Hearts
94,J of Diamonds,A of Spades,7 of Hearts,7 of Spades,2 of Spades,2 of Diamonds,3 of Spades,5 of Hearts,7 of Diamonds,10 of Hearts,J of Spades,2 of Hearts,10 of Spades,K of Clubs,8 of Spades
95,A of Spades,Q of Hearts,10 of Hearts,2 of Diamonds,5 of Diamonds,8 of Hearts,4 of Diamonds,10 of Clubs,A of Diamonds,5 of Spades,5 of Clubs,K of Clubs,7 of Hearts,2 of Clubs,6 of Hearts
96,Q of Diamonds,3 of Hearts,J of Spades,2 of Diamonds,J of Diamonds,10 of Clubs,10 of Diamonds,K of Spades,8 of Diamonds,5 of Clubs,6 of Hearts,J of Hearts,A of Clubs,5 of Spades,K of Clubs
97,2 of Clubs,2 of Hearts,J of Clubs,2 of Diamonds,7 of Clubs,8 of Hearts,6 of Clubs,Q of Diamonds,2 of Spades,K of Diamonds,3 of Hearts,7 of Spades,3 of Spades,Q of Clubs,4 of Clubs
98,2 of Hearts,3 of Hearts,10 of Spades,K of Spades,K of Diamonds,9 of Clubs,7 of Clubs,2 of Diamonds,8 of Hearts,10 of Diamonds,4 of Diamonds,4 of Clubs,4 of Spades,A of Clubs,10 of Clubs
99,6 of Hearts,5 of Spades,5 of Hearts,2 of Spades,2 of Hearts,3 of Hearts,Q of Hearts,J of Clubs,3 of Clubs,6 of Clubs,6 of Spades,J of Spades,A of Clubs,5 of Clubs,9 of Spades
100,Q of Spades,3 of Spades,2 of Hearts,10 of Spades,3 of Clubs,5 of Clubs,6 of Spades,5 of Spades,A of Diamonds,J of Spades,8 of Spades,4 of Clubs,2 of Diamonds,6 of Diamonds,10 of Diamonds
101,6 of Clubs,Q of Hearts,7 of Diamonds,5 of Hearts,3 of Hearts,J of Diamonds,9 of Clubs,9 of Diamonds,5 of Diamonds,7 of Hearts,A of Hearts,Q of Clubs,8 of Hearts,Q of Spades,3 of Diamonds
102,Q of Hearts,6 of Spades,Q of Spades,4 of Diamonds,8 of Spades,2 of Clubs,J of Clubs,2 of Diamonds,9 of Hearts,4 of Hearts,3 of Diamonds,5 of Spades,2 of Spades,Q of Clubs,10 of Clubs
103,Q of Spades,2 of Spades,K of Diamonds,8 of Clubs,10 of Diamonds,5 of Clubs,6 of Diamonds,A of Hearts,A of Spades,4 of Clubs,10 of Spades,J of Diamonds,A of Clubs,K of Spades,9 of Hearts
104,6 of Hearts,2 of Hearts,4 of Clubs,7 of Diamonds,8 of Spades,J of Diamonds,A of Hearts,10 of Clubs,10 of Hearts,3 of Diamonds,9 of Clubs,6 of Spades,6 of Clubs,8 of Clubs,2 of Spades
105,4 of Diamonds,4 of Hearts,5 of Clubs,5 of Diamonds,8 of Hearts,Q of Spades,Q of Clubs,2 of Spades,6 of Hearts,A of Hearts,10 of Spades,J of Clubs,A of Spades,8 of Spades,10 of Hearts
106,2 of Diamonds,3 of Hearts,10 of Diamonds,9 of Clubs,5 of Hearts,9 of Hearts,J of Diamonds,4 of Hearts,4 of Diamonds,A of Hearts,K of Spades,8 of Spades,K of Clubs,Q of Spades,4 of Spades
107,3 of Clubs,3 of Diamonds,9 of Hearts,A of Spades,2 of Hearts,K of Clubs,9 of Clubs,7 of Clubs,4 of Spades,2 of Spades,9 of Diamonds,8 of Spades,J of Hearts,Q of Spades,6 of Clubs
108,Q of Clubs,6 of Spades,8 of Hearts,6 of Clubs,9 of Hearts,A of Diamonds,10 of Spades,8 of Spades,2 of Clubs,J of Clubs,5 of Hearts,4 of Hearts,9 of Clubs,4 of Diamonds,4 of Clubs
109,3 of Clubs,9 of Clubs,4 of Clubs,A of Diamonds,7 of Clubs,A of Clubs,Q of Diamonds,K of Hearts,6 of Spades,10 of Hearts,2 of Clubs,4 of Spades,7 of Diamonds,Q of Clubs,6 of Clubs
110,10 of Clubs,Q of Clubs,K of Clubs,7 of Hearts,2 of Hearts,3 of Hearts,3 of Diamonds,2 of Diamonds,5 of Clubs,6 of Diamonds,4 of Hearts,K of Hearts,9 of Hearts,6 of Spades,9 of Diamonds
111,3 of Spades,A of Clubs,5 of Diamonds,Q of Diamonds,8 of Clubs,9 of Diamonds,7 of Spades,7 of Hearts,10 of Hearts,10 of Diamonds,5 of Hearts,K of Spades,A of Hearts,J of Diamonds,7 of Clubs
112,9 of Spades,7 of Spades,K of Hearts,A of Clubs,10 of Diamonds,K of Spades,3 of Diamonds,9 of Hearts,7 of Diamonds,5 of Hearts,A of Diamonds,5 of Clubs,3 of Spades,6 of Diamonds,8 of Clubs
113,A of Clubs,4 of Diamonds,4 of Hearts,3 of Clubs,6 of Clubs,5 of Spades,J of Spades,6 of Diamonds,7 of Hearts,5 of Clubs,5 of Hearts,6 of Spades,A of Diamonds,7 of Diamonds,10 of Hearts
114,9 of Diamonds,2 of Diamonds,10 of Spades,A of Clubs,Q of Diamonds,7 of Clubs,4 of Diamonds,9 of Spades,7 of Spades,J of Clubs,A of Hearts,10 of Diamonds,K of Diamonds,7 of Diamonds,2 of Spades
115,2 of Spades,3 of Spades,A of Spades,9 of Spades,5 of Spades,5 of Hearts,3 of Clubs,7 of Clubs,5 of Clubs,9 of Hearts,4 of Spades,K of Clubs,K of Spades,A of Diamonds,7 of Diamonds
